animal_id,session,choice,proportion,Choice,percentage
W051,501,0,0.38875878220140514,Left,38.88
W051,501,2,0.1873536299765808,Violation,18.74
W051,502,0,0.46017699115044247,Left,46.02
W051,502,1,0.4336283185840708,Right,43.36
W051,502,2,0.10619469026548672,Violation,10.62
W051,503,0,0.4245614035087719,Left,42.46
W051,503,1,0.4245614035087719,Right,42.46
W051,503,2,0.15087719298245614,Violation,15.09
W051,504,1,0.44886363636363635,Right,44.89
W051,504,0,0.4147727272727273,Left,41.48
W051,504,2,0.13636363636363635,Violation,13.64
W051,505,1,0.42606516290726815,Right,42.61
W051,505,0,0.42355889724310775,Left,42.36
W051,505,2,0.15037593984962405,Violation,15.04
W051,506,1,0.4475703324808184,Right,44.76
W051,506,0,0.3836317135549872,Left,38.36
W051,506,2,0.16879795396419436,Violation,16.88
W051,507,1,0.4449877750611247,Right,44.5
W051,507,0,0.4058679706601467,Left,40.59
W051,507,2,0.1491442542787286,Violation,14.91
W051,508,0,0.4357142857142857,Left,43.57
W051,508,1,0.42142857142857143,Right,42.14
W051,508,2,0.14285714285714285,Violation,14.29
W051,509,1,0.43130990415335463,Right,43.13
W051,509,0,0.40894568690095845,Left,40.89
W051,509,2,0.1597444089456869,Violation,15.97
W051,510,0,0.42452830188679247,Left,42.45
W051,510,1,0.42452830188679247,Right,42.45
W051,510,2,0.1509433962264151,Violation,15.09
W051,511,1,0.4603960396039604,Right,46.04
W051,511,0,0.40594059405940597,Left,40.59
W051,511,2,0.13366336633663367,Violation,13.37
W051,512,0,0.3901639344262295,Left,39.02
W051,512,1,0.3836065573770492,Right,38.36
W051,512,2,0.2262295081967213,Violation,22.62
W051,513,0,0.4725274725274725,Left,47.25
W051,513,1,0.43956043956043955,Right,43.96
W051,513,2,0.08791208791208792,Violation,8.79
W051,514,1,0.4114671163575042,Right,41.15
W051,514,0,0.40134907251264756,Left,40.13
W051,514,2,0.18718381112984822,Violation,18.72
W051,515,1,0.44251626898047725,Right,44.25
W051,515,0,0.4121475054229935,Left,41.21
W051,515,2,0.14533622559652928,Violation,14.53
W051,517,0,0.4099099099099099,Left,40.99
W051,517,1,0.4099099099099099,Right,40.99
W051,517,2,0.18018018018018017,Violation,18.02
W051,518,0,0.4240506329113924,Left,42.41
W051,518,1,0.41139240506329117,Right,41.14
W051,518,2,0.16455696202531644,Violation,16.46
W051,519,0,0.43283582089552236,Left,43.28
W051,519,1,0.4228855721393035,Right,42.29
W051,519,2,0.14427860696517414,Violation,14.43
W051,520,1,0.43612334801762115,Right,43.61
W051,520,0,0.3832599118942731,Left,38.33
W051,520,2,0.18061674008810572,Violation,18.06
W051,521,0,0.4582278481012658,Left,45.82
W051,521,1,0.44556962025316454,Right,44.56
W051,521,2,0.09620253164556962,Violation,9.62
W051,522,0,0.4626865671641791,Left,46.27
W051,522,1,0.36318407960199006,Right,36.32
W051,522,2,0.17412935323383086,Violation,17.41
W051,523,0,0.4558303886925795,Left,45.58
W051,523,1,0.43109540636042404,Right,43.11
W051,523,2,0.11307420494699646,Violation,11.31
W051,524,1,0.44508670520231214,Right,44.51
W051,524,0,0.42485549132947975,Left,42.49
W051,524,2,0.13005780346820808,Violation,13.01
W051,525,0,0.45408163265306123,Left,45.41
W051,525,1,0.43112244897959184,Right,43.11
W051,525,2,0.11479591836734694,Violation,11.48
W051,526,0,0.47103274559193953,Left,47.1
W051,526,1,0.4080604534005038,Right,40.81
W051,526,2,0.12090680100755667,Violation,12.09
W051,527,0,0.4316546762589928,Left,43.17
W051,527,1,0.3381294964028777,Right,33.81
W051,527,2,0.2302158273381295,Violation,23.02
W051,528,0,0.36363636363636365,Left,36.36
W051,528,2,0.33766233766233766,Violation,33.77
W051,528,1,0.2987012987012987,Right,29.87
W051,529,0,0.4424778761061947,Left,44.25
W051,529,1,0.3746312684365782,Right,37.46
W051,529,2,0.18289085545722714,Violation,18.29
W051,530,0,0.4186046511627907,Left,41.86
W051,530,1,0.4160206718346253,Right,41.6
W051,530,2,0.165374677002584,Violation,16.54
W051,531,0,0.4224343675417661,Left,42.24
W051,531,1,0.4128878281622912,Right,41.29
W051,531,2,0.16467780429594273,Violation,16.47
W051,532,1,0.47368421052631576,Right,47.37
W051,532,0,0.43107769423558895,Left,43.11
W051,532,2,0.09523809523809523,Violation,9.52
W051,533,1,0.4583333333333333,Right,45.83
